,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-30,8,2020-08-30,16.54,23.40666666666667,75.33333333333333,1004.1066666666667,306.26666666666665,3.94,122.06666666666666,122.13333333333334,182.8
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
2020-08-31,8,2020-08-31,16.27857142857143,17.185714285714287,64.71428571428571,1012.85,227.28571428571428,3.242857142857143,2.0714285714285716,197.07142857142858,197.64285714285714
